New Terminal Output:

d55ac9bae4ee:/app# ps -ef | grep -v grep | head -30
PID   USER     TIME  COMMAND
    1 root      0:00 sleep infinity
   94 root      0:00 [tmux: client]
   95 root      0:00 {tmux: server} tmux new-session -x 160 -y 40 -d -s terminus-2 bash --login ; pipe-pane -t terminus-2 cat > /logs/agent/terminus_2.pane
   96 root      0:00 bash --login
   97 root      0:00 cat
  110 root      0:00 asciinema rec --stdin /logs/agent/recording.cast
  114 root      0:00 /bin/bash
  384 root      0:00 [esbuild]
  754 root      0:00 [esbuild]
  825 root      0:00 [esbuild]
 1122 root      0:00 [esbuild]
 1264 root      0:00 [esbuild]
 1400 root      0:00 [esbuild]
 1912 root      0:00 [esbuild]
 2066 root      0:00 [esbuild]
 2247 root      0:00 [esbuild]
 2537 root      0:00 ps -ef
 2539 root      0:00 head -30
d55ac9bae4ee:/app#
